iter	Passed	Remaining
0	352	351696
1	353	176494
2	355	118126
3	356	88857
4	358	71368
5	363	60252
6	365	51880
7	367	45619
8	370	40753
9	371	36788
10	373	33539
11	374	30832
12	375	28538
13	377	26592
14	379	24890
15	383	23596
16	385	22285
17	386	21108
18	388	20054
19	389	19103
20	391	18246
21	392	17464
22	396	16827
23	397	16185
24	399	15593
25	405	15175
26	408	14719
27	410	14254
28	413	13828
29	415	13421
30	416	13022
31	418	12645
32	419	12296
33	421	11969
34	422	11656
35	428	11470
36	430	11215
37	432	10957
38	434	10714
39	436	10481
40	438	10266
41	441	10060
42	443	9859
43	449	9755
44	450	9569
45	452	9389
46	454	9217
47	458	9100
48	460	8933
49	461	8773
50	463	8619
51	464	8470
52	466	8330
53	472	8269
54	473	8142
55	475	8012
56	477	7891
57	478	7771
58	479	7655
59	481	7542
60	482	7434
61	484	7328
62	485	7227
63	487	7128
64	489	7034
65	494	7004
66	496	6919
67	498	6836
68	501	6761
69	503	6682
70	504	6604
71	506	6524
72	507	6446
73	509	6371
74	510	6295
75	511	6221
76	515	6175
77	516	6107
78	518	6045
79	519	5978
80	521	5912
81	522	5848
82	523	5779
83	524	5718
84	525	5659
85	526	5600
86	528	5545
87	529	5489
88	530	5434
89	532	5381
90	533	5330
91	537	5307
92	539	5257
93	540	5208
94	541	5160
95	542	5113
96	544	5066
97	545	5021
98	546	4976
99	548	4932
100	549	4889
101	550	4847
102	551	4805
103	553	4765
104	554	4728
105	556	4689
106	560	4679
107	562	4645
108	563	4609
109	565	4572
110	566	4536
111	567	4502
112	569	4467
113	570	4433
114	571	4401
115	573	4367
116	574	4333
117	575	4301
118	576	4270
119	578	4239
120	579	4209
121	584	4203
122	585	4175
123	587	4147
124	588	4119
125	590	4096
126	591	4067
127	593	4044
128	594	4017
129	596	3990
130	597	3964
131	598	3938
132	600	3911
133	601	3886
134	602	3863
135	606	3851
136	607	3828
137	609	3807
138	610	3784
139	612	3762
140	613	3739
141	614	3714
142	616	3693
143	618	3674
144	619	3653
145	620	3632
146	622	3614
147	628	3620
148	630	3602
149	634	3593
150	636	3576
151	637	3557
152	639	3537
153	640	3518
154	641	3499
155	643	3480
156	645	3463
157	646	3446
158	652	3450
159	654	3435
160	655	3414
161	656	3397
162	658	3380
163	659	3363
164	661	3346
165	663	3331
166	664	3314
167	665	3297
168	667	3280
169	668	3264
170	670	3249
171	672	3236
172	674	3222
173	676	3211
174	678	3198
175	680	3184
176	681	3169
177	683	3154
178	684	3140
179	686	3125
180	687	3111
181	692	3111
182	694	3099
183	695	3085
184	697	3071
185	698	3057
186	700	3044
187	701	3030
188	703	3017
189	704	3004
190	706	2990
191	707	2977
192	709	2964
193	710	2951
194	714	2948
195	715	2936
196	717	2923
197	718	2911
198	720	2898
199	721	2887
200	723	2875
201	724	2863
202	726	2850
203	727	2838
204	728	2826
205	730	2816
206	732	2804
207	738	2812
208	740	2801
209	742	2791
210	743	2780
211	744	2768
212	746	2756
213	747	2746
214	749	2735
215	750	2724
216	751	2712
217	753	2701
218	754	2689
219	755	2678
220	760	2680
221	762	2670
222	763	2660
223	765	2651
224	767	2641
225	768	2631
226	770	2623
227	771	2612
228	772	2602
229	774	2592
230	775	2581
231	776	2571
232	778	2561
233	782	2559
234	784	2553
235	785	2544
236	787	2535
237	789	2529
238	791	2519
239	792	2510
240	794	2500
241	795	2491
242	796	2481
243	797	2472
244	799	2463
245	800	2453
246	804	2453
247	806	2444
248	807	2434
249	808	2425
250	809	2416
251	811	2408
252	812	2399
253	814	2390
254	815	2381
255	816	2373
256	817	2364
257	819	2355
258	820	2347
259	821	2338
260	823	2330
261	827	2332
262	829	2324
263	830	2316
264	831	2307
265	833	2299
266	834	2291
267	835	2282
268	837	2274
269	838	2266
270	839	2258
271	841	2251
272	842	2244
273	844	2237
274	846	2231
275	851	2234
276	853	2228
277	855	2222
278	858	2217
279	861	2214
280	862	2207
281	864	2200
282	865	2193
283	866	2185
284	868	2178
285	870	2173
286	872	2167
287	873	2160
288	875	2153
289	876	2147
290	878	2140
291	879	2133
292	881	2126
293	882	2120
294	884	2113
295	885	2107
296	887	2100
297	891	2100
298	893	2093
299	894	2087
300	895	2080
301	897	2073
302	898	2067
303	900	2061
304	901	2054
305	903	2048
306	904	2041
307	906	2035
308	908	2030
309	909	2024
310	911	2018
311	913	2014
312	914	2007
313	916	2001
314	917	1995
315	919	1989
316	920	1983
317	921	1977
318	923	1971
319	924	1965
320	926	1959
321	928	1954
322	929	1948
323	935	1951
324	937	1946
325	939	1943
326	941	1938
327	945	1937
328	947	1932
329	949	1927
330	951	1922
331	952	1917
332	957	1917
333	959	1912
334	960	1906
